ID,control,tool,n_burst,burstStart,burstDur,pauseDur,cycleDur,burstPct,pausePct,totalActions,totalChars,finalChars,totalDeletions,innerDeletions,posStart,posEnd,docLen,categ,charBurst,ratio
P+S1,+,TW,2,941.303,8.67,5.7,14.37,0.6,0.4,45,45,45,0,0,0,45,45,P,"Dans␣le␣cadre␣de␣la␣médecine␣traditionnelle,␣",1.52
P+S1,+,TW,3,955.671,7.3,8.87,16.17,0.45,0.55,31,31,31,0,0,45,76,76,P,nous␣voici␣face␣à␣un␣dillemme.␣,0.82
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,76,128,170,P,Beaucoup␣critiqué␣cette␣dernière␣s'avère␣parfois␣ene,2.57
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,128,127,170,P,⌫,2.57
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,127,170,170,P,"␣effet␣fort␣efficace␣sur␣certaines␣points,␣",2.57
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,170,169,170,P,⌫,2.57
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,169,168,170,P,⌫,2.57
P+S1,+,TW,4,971.839,21.78,8.49,30.27,0.72,0.28,100,97,94,3,3,168,170,170,P,.␣,2.57
P+S1,+,TW,5,1002.111,21.42,2.03,23.45,0.91,0.09,120,120,120,0,0,170,290,290,P,En␣effet␣si␣l'ont␣y␣réfléchie␣plus␣longuement␣beaucoup␣de␣nos␣méthodes␣actuelles␣se␣sont␣basé␣sur␣les␣fond␣de␣cette␣médi,10.55
P+S1,+,TW,6,1025.567,3.58,4.02,7.6,0.47,0.53,18,17,17,1,0,290,289,306,ER,⌫,0.89
P+S1,+,TW,6,1025.567,3.58,4.02,7.6,0.47,0.53,18,17,17,1,0,289,306,306,ER,ecine␣alternative,0.89
P+S1,+,TW,7,1033.175,10.77,3.14,13.91,0.77,0.23,43,41,39,2,2,306,316,345,P,",␣certaine",3.43
P+S1,+,TW,7,1033.175,10.77,3.14,13.91,0.77,0.23,43,41,39,2,2,316,315,345,P,⌫,3.43
P+S1,+,TW,7,1033.175,10.77,3.14,13.91,0.77,0.23,43,41,39,2,2,315,333,345,P,s␣remède␣sont␣encà,3.43
P+S1,+,TW,7,1033.175,10.77,3.14,13.91,0.77,0.23,43,41,39,2,2,333,332,345,P,⌫,3.43
P+S1,+,TW,7,1033.175,10.77,3.14,13.91,0.77,0.23,43,41,39,2,2,332,345,345,P,ore␣utilisés␣,3.43
P+S1,+,TW,8,1047.086,2.51,1.9,4.41,0.57,0.43,11,11,11,0,0,345,356,356,P,à␣nos␣jours,1.32
P+S1,+,TW,9,1051.494,3.46,5.19,8.65,0.4,0.6,4,3,2,1,1,356,359,360,P,.␣C,0.67
P+S1,+,TW,9,1051.494,3.46,5.19,8.65,0.4,0.6,4,3,2,1,1,359,358,360,P,⌫,0.67
P+S1,+,TW,10,1060.15,5.64,9.08,14.72,0.38,0.62,1,1,1,0,0,323,324,360,R,s,0.62
P+S1,+,TW,11,1074.87,2.7,4.57,7.27,0.37,0.63,1,1,1,0,0,358,359,360,R,␣,0.59
P+S1,+,TW,12,1082.142,3.09,16.36,19.45,0.16,0.84,1,1,1,0,0,276,277,362,R,s,0.19
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,361,364,428,P,L'u,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,364,363,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,363,362,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,362,361,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,361,385,428,P,De␣plus␣nous␣pouvons␣com,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,385,384,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,384,383,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,383,382,428,P,⌫,9.18
P+S1,+,TW,13,1101.59,18.26,1.99,20.25,0.9,0.1,79,73,67,6,6,382,428,428,P,souligner␣le␣fait␣que␣la␣médecine␣alternative␣,9.18
P+S1,+,TW,14,1121.846,7.74,2.53,10.27,0.75,0.25,37,34,31,3,3,428,440,459,P,n'utilisepas,3.06
P+S1,+,TW,14,1121.846,7.74,2.53,10.27,0.75,0.25,37,34,31,3,3,440,439,459,P,⌫,3.06
P+S1,+,TW,14,1121.846,7.74,2.53,10.27,0.75,0.25,37,34,31,3,3,439,438,459,P,⌫,3.06
P+S1,+,TW,14,1121.846,7.74,2.53,10.27,0.75,0.25,37,34,31,3,3,438,437,459,P,⌫,3.06
P+S1,+,TW,14,1121.846,7.74,2.53,10.27,0.75,0.25,37,34,31,3,3,437,459,459,P,␣pas␣que␣les␣croyances,3.06
P+S1,+,TW,15,1132.11,0.4,2.62,3.02,0.13,0.87,2,2,2,0,0,459,461,461,P,",␣",0.15
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,461,497,724,P,les␣remèdes␣naturelles␣sont␣en␣effet,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,482,481,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,481,480,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,495,504,724,P,␣beaucoup,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,504,503,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,503,502,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,502,501,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,501,500,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,500,499,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,499,498,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,498,497,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,497,496,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,496,495,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,495,494,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,494,500,724,P,t␣énom,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,500,499,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,499,565,724,P,rmément␣mis␣en␣avant␣contrairement␣à␣la␣médecine␣actuelle␣qui␣mêms,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,565,564,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,564,603,724,P,e␣si␣elle␣s'avère␣efficace␣ut'ilise␣la␣,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,603,602,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,602,601,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,601,600,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,600,599,724,P,⌫,13.16
P+S1,+,TW,16,1135.134,78.69,5.98,84.67,0.93,0.07,327,295,263,32,32,599,598,724,P,⌫,13.16
